,precision_2020,recall_2020,precision_2019,recall_2019,precision_2018,recall_2018,precision_2017,recall_2017,model_type,params
0,0.990185387131952,0.37598343685300206,0.987597911227154,0.6011124354390147,0.9846968805179518,0.6765062676910635,0.9649581589958159,0.7564575645756457,LogisticRegression,"{'penalty': 'l2', 'C': 0.001, 'random_state': 0}"
0,0.8411811652035116,0.43643892339544516,0.8785399622404028,0.5546285260230434,0.896551724137931,0.5677315002021835,0.8852459016393442,0.6199261992619927,KNeighborsClassifier,"{'weights': 'uniform', 'n_neighbors': 20}"
0,0.9975550122249389,0.168944099378882,0.9753615425816818,0.7234803337306317,1.0,0.39547108774767487,1.0,0.24600246002460024,LinearSVC,"{'C': 0.01, 'random_state': 0}"
0,0.35992701940620336,0.8985507246376812,0.3835683033543996,0.9404052443384983,0.36359404096834264,0.9474322684997978,0.35583488516449413,0.940139401394014,GaussianNB,{'priors': None}
